BPMNAnnotation,AnnotationType,OWLElement
Activity_1pzp6mq,has_domainLink,RA729050,
Activity_1u8vh6a,activity_is_a_kind_of,Warehouse,
Activity_1pzp6mq,has_performerLink,PCSCOPRO#349040287,
Activity_1u8vh6a,has_performerLink,PCSCOPRO#349040287,
Activity_1mkqt2y,activity_is_a_kind_of,Distribution_Center,
Activity_1mkqt2y,has_performerLink,PCSCOPRO#349040287,
Activity_1230cmi,has_performerLink,PCSCOPRO#349040287,
Activity_1230cmi,activity_is_a_kind_of,Pick_Product,
Activity_1nxzpvb,activity_is_a_kind_of,Material_Transfer,
Activity_1nxzpvb,has_performerLink,PCSCOPRO#349040287,
Activity_0jg8821,has_performerLink,PCSCOPRO#349040287,
Activity_0jg8821,activity_is_a_kind_of,Receive_Enter_and_Validate_Order,
Activity_0kvx2ft,has_performerLink,PCSCOPRO#349040287,
Activity_0kvx2ft,activity_is_a_kind_of,Point_of_Storage,
Activity_0xtdhdc,has_domainLink,RA729050,
Activity_0xtdhdc,has_performerLink,PCSCOPRO#349040287,
Activity_0sj138u,has_performerLink,PCSCOPRO#349040287,
Activity_0sj138u,has_domainLink,VA-B729050,
Activity_0lfhabc,has_performerLink,PCSCOPRO#349040287,
Activity_0axkdic,has_performerLink,Anac,
Activity_0axkdic,has_domainLink,B729050,
Activity_0qlpi2u,activity_is_a_kind_of,VariantDocument,
Activity_0qlpi2u,has_performerLink,PCSCOPRO#349040287,
Activity_0orbcya,has_performerLink,PCSCOPRO#349040287,
Activity_0orbcya,has_domainLink,PCSCOPRO#2187150,
DataObjectReference_1bzc6fx,has_domainLink,B729050,
Activity_16fn4p4,has_domainLink,O81994532AB,
Activity_16fn4p4,has_domainLink,O8199464BBC,
Activity_16fn4p4,has_domainLink,O8199482A97,
Activity_0dfa1aj,has_domainLink,O81994532AB,
Activity_0dfa1aj,has_domainLink,O8199464BBC,
Activity_0dfa1aj,has_domainLink,O8199482A97,
Activity_0dfa1aj,has_performerLink,PCSCOPRO#01542210222,
Activity_0dfa1aj,has_performerLink,PCSCOPRO#09331210154,
Activity_0s4fm1e,has_domainLink,E8199482A97,
Activity_0s4fm1e,has_domainLink,E8199464BBC,
Activity_0s4fm1e,has_domainLink,E81994532AB,
Activity_0s4fm1e,has_performerLink,PCSCOPRO#349040287,
Activity_180zu0k,has_performerLink,PCSCOPRO#349040287,
Activity_180zu0k,has_performerLink,PCSCOPRO#01542210222,
Activity_180zu0k,has_performerLink,PCSCOPRO#09331210154,
Activity_180zu0k,has_domainLink,C99455422,
Activity_180zu0k,has_domainLink,C99463312,
Activity_180zu0k,has_domainLink,C99483312,
Activity_1grbsv5,has_performerLink,PCSCOPRO#349040287,
Activity_1grbsv5,activity_is_a_kind_of,Comunicazione,
Activity_1w4mq26,has_domainLink,OA81994532AB,
Activity_1w4mq26,has_domainLink,OA8199464BBC,
Activity_1w4mq26,has_domainLink,OA8199482A97,
Activity_1w4mq26,has_performerLink,PCSCOPRO#349040287,
Activity_0k1uuni,activity_is_a_kind_of,Point_of_Storage,
Activity_1cxrpjd,has_performerLink,PCSCOPRO#349040287,
Activity_1cxrpjd,has_domainLink,F81994532AB,
Activity_1cxrpjd,has_domainLink,F8199464BBC,
Activity_1cxrpjd,has_domainLink,F8199482A97,
Activity_0dvu06o,activity_is_a_kind_of,Pagamento,
Activity_0dvu06o,has_performerLink,PCSCOPRO#349040287,
Activity_0dfa1aj,activity_is_a_kind_of,TenderSubmission,
Activity_0dfa1aj,has_performerLink,PCSCOPRO#01542210222,
Activity_0dfa1aj,has_performerLink,PCSCOPRO#09331210154,
Activity_1xwq7uh,has_performerLink,PCSCOPRO#09331210154,
Activity_1xpl0p1,has_performerLink,PCSCOPRO#09331210154,
Activity_0adpghn,has_performerLink,PCSCOPRO#09331210154,
Activity_1xwq7uh,has_performerLink,PCSCOPRO#01542210222,
Activity_1xpl0p1,has_performerLink,PCSCOPRO#01542210222,
Activity_0adpghn,has_performerLink,PCSCOPRO#01542210222,
Activity_1xwq7uh,activity_is_a_kind_of,Plan_Deliver,
Activity_1xpl0p1,activity_is_a_kind_of,Deliver_Stocked_Product,
Activity_0adpghn,activity_is_a_kind_of,Comunicazione,
